00000000000000000000000000000000,BB0000,
00000000000000010000000000000001,BB0001,
00000000000000020000000000000002,BB0002,
00000000000000030000000000000003,BB0003,
00000000000000040000000000000004,BB0004,
00000000000000050000000000000005,BB0005,
00000000000000060000000000000006,BB0006,
00000000000000070000000000000007,BB0007,
00000000000000080000000000000008,BB0008,
00000000000000090000000000000009,BB0009,
000000000000000a000000000000000a,BB000a,
000000000000000b000000000000000b,BB000b,
000000000000000c000000000000000c,BB000c,
000000000000000d000000000000000d,BB000d,
000000000000000e000000000000000e,BB000e,
000000000000000f000000000000000f,BB000f,
00000000000000100000000000000010,BB0010,
00000000000000110000000000000011,BB0011,
00000000000000120000000000000012,BB0012,
00000000000000130000000000000013,BB0013,
00000000000000140000000000000014,BB0014,
00000000000000150000000000000015,BB0015,
00000000000000160000000000000016,BB0016,
00000000000000170000000000000017,BB0017,
00000000000000180000000000000018,BB0018,
00000000000000190000000000000019,BB0019,
000000000000001a000000000000001a,BB001a,
000000000000001b000000000000001b,BB001b,
000000000000001c000000000000001c,BB001c,
000000000000001d000000000000001d,BB001d,
000000000000001e000000000000001e,BB001e,
000000000000001f000000000000001f,BB001f,
00000000000000200000000000000020,BB0020,
00000000000000210000000000000021,BB0021,
00000000000000220000000000000022,BB0022,
00000000000000230000000000000023,BB0023,
00000000000000240000000000000024,BB0024,
00000000000000250000000000000025,BB0025,
00000000000000260000000000000026,BB0026,
00000000000000270000000000000027,BB0027,
00000000000000280000000000000028,BB0028,
00000000000000290000000000000029,BB0029,
000000000000002a000000000000002a,BB002a,
000000000000002b000000000000002b,BB002b,
000000000000002c000000000000002c,BB002c,
000000000000002d000000000000002d,BB002d,
000000000000002e000000000000002e,BB002e,
000000000000002f000000000000002f,BB002f,
00000000000000300000000000000030,BB0030,
00000000000000310000000000000031,BB0031,
00000000000000320000000000000032,BB0032,
00000000000000330000000000000033,BB0033,
00000000000000340000000000000034,BB0034,
00000000000000350000000000000035,BB0035,
00000000000000360000000000000036,BB0036,
00000000000000370000000000000037,BB0037,
00000000000000380000000000000038,BB0038,
00000000000000390000000000000039,BB0039,
000000000000003a000000000000003a,BB003a,
000000000000003b000000000000003b,BB003b,
000000000000003c000000000000003c,BB003c,
000000000000003d000000000000003d,BB003d,
000000000000003e000000000000003e,BB003e,
000000000000003f000000000000003f,BB003f,
00000000000000400000000000000040,BB0040,
00000000000000410000000000000041,BB0041,
00000000000000420000000000000042,BB0042,
00000000000000430000000000000043,BB0043,
00000000000000440000000000000044,BB0044,
00000000000000450000000000000045,BB0045,
00000000000000460000000000000046,BB0046,
00000000000000470000000000000047,BB0047,
00000000000000480000000000000048,BB0048,
00000000000000490000000000000049,BB0049,
000000000000004a000000000000004a,BB004a,
000000000000004b000000000000004b,BB004b,
000000000000004c000000000000004c,BB004c,
000000000000004d000000000000004d,BB004d,
000000000000004e000000000000004e,BB004e,
000000000000004f000000000000004f,BB004f,
00000000000000500000000000000050,BB0050,
00000000000000510000000000000051,BB0051,
00000000000000520000000000000052,BB0052,
00000000000000530000000000000053,BB0053,
00000000000000540000000000000054,BB0054,
00000000000000550000000000000055,BB0055,
00000000000000560000000000000056,BB0056,
00000000000000570000000000000057,BB0057,
00000000000000580000000000000058,BB0058,
00000000000000590000000000000059,BB0059,
000000000000005a000000000000005a,BB005a,
000000000000005b000000000000005b,BB005b,
000000000000005c000000000000005c,BB005c,
000000000000005d000000000000005d,BB005d,
000000000000005e000000000000005e,BB005e,
000000000000005f000000000000005f,BB005f,
00000000000000600000000000000060,BB0060,
00000000000000610000000000000061,BB0061,
00000000000000620000000000000062,BB0062,
00000000000000630000000000000063,BB0063,
00000000000000640000000000000064,BB0064,
00000000000000650000000000000065,BB0065,
00000000000000660000000000000066,BB0066,
00000000000000670000000000000067,BB0067,
00000000000000680000000000000068,BB0068,
00000000000000690000000000000069,BB0069,
000000000000006a000000000000006a,BB006a,
000000000000006b000000000000006b,BB006b,
000000000000006c000000000000006c,BB006c,
000000000000006d000000000000006d,BB006d,
000000000000006e000000000000006e,BB006e,
000000000000006f000000000000006f,BB006f,
00000000000000700000000000000070,BB0070,
00000000000000710000000000000071,BB0071,
00000000000000720000000000000072,BB0072,
00000000000000730000000000000073,BB0073,
00000000000000740000000000000074,BB0074,
00000000000000750000000000000075,BB0075,
00000000000000760000000000000076,BB0076,
00000000000000770000000000000077,BB0077,
00000000000000780000000000000078,BB0078,
00000000000000790000000000000079,BB0079,
000000000000007a000000000000007a,BB007a,
000000000000007b000000000000007b,BB007b,
000000000000007c000000000000007c,BB007c,
000000000000007d000000000000007d,BB007d,
000000000000007e000000000000007e,BB007e,
000000000000007f000000000000007f,BB007f,
00000000000000800000000000000080,BB0080,
00000000000000810000000000000081,BB0081,
00000000000000820000000000000082,BB0082,
00000000000000830000000000000083,BB0083,
00000000000000840000000000000084,BB0084,
00000000000000850000000000000085,BB0085,
00000000000000860000000000000086,BB0086,
00000000000000870000000000000087,BB0087,
00000000000000880000000000000088,BB0088,
00000000000000890000000000000089,BB0089,
000000000000008a000000000000008a,BB008a,
000000000000008b000000000000008b,BB008b,
000000000000008c000000000000008c,BB008c,
000000000000008d000000000000008d,BB008d,
000000000000008e000000000000008e,BB008e,
000000000000008f000000000000008f,BB008f,
00000000000000900000000000000090,BB0090,
00000000000000910000000000000091,BB0091,
00000000000000920000000000000092,BB0092,
00000000000000930000000000000093,BB0093,
00000000000000940000000000000094,BB0094,
00000000000000950000000000000095,BB0095,
00000000000000960000000000000096,BB0096,
00000000000000970000000000000097,BB0097,
00000000000000980000000000000098,BB0098,
00000000000000990000000000000099,BB0099,
000000000000009a000000000000009a,BB009a,
000000000000009b000000000000009b,BB009b,
000000000000009c000000000000009c,BB009c,
000000000000009d000000000000009d,BB009d,
000000000000009e000000000000009e,BB009e,
000000000000009f000000000000009f,BB009f,
